| Date                      |     Open |    Close |      Volume | TradeOpen   |
|---------------------------+----------+----------+-------------+-------------|
| 2000-11-30 00:00:00-05:00 |  86.5151 |  86.3723 | 1.12016e+07 | False       |
| 2000-12-01 00:00:00-05:00 |  86.964  |  86.3315 | 7.5872e+06  | False       |
| 2000-12-04 00:00:00-05:00 |  86.1071 |  87.0661 | 6.9966e+06  | False       |
| 2000-12-05 00:00:00-05:00 |  88.0659 |  89.9227 | 8.8834e+06  | False       |
| 2000-12-06 00:00:00-05:00 |  89.9635 |  88.4842 | 1.2888e+07  | False       |
| 2000-12-07 00:00:00-05:00 |  88.0659 |  87.2701 | 6.5291e+06  | False       |
| 2000-12-08 00:00:00-05:00 |  89.4942 |  87.4742 | 1.02763e+07 | False       |
| 2000-12-11 00:00:00-05:00 |  89.6982 |  90.5144 | 6.4056e+06  | False       |
| 2000-12-12 00:00:00-05:00 |  90.2288 |  90.1267 | 5.0229e+06  | False       |
| 2000-12-13 00:00:00-05:00 |  90.9226 |  88.8923 | 6.0705e+06  | False       |
| 2000-12-14 00:00:00-05:00 |  88.7188 |  87.7598 | 7.6784e+06  | False       |
| 2000-12-15 00:00:00-05:00 |  87.1899 |  85.7776 | 9.0653e+06  | False       |
| 2000-12-18 00:00:00-05:00 |  86.494  |  86.9238 | 7.2354e+06  | False       |
| 2000-12-19 00:00:00-05:00 |  86.7601 |  85.1534 | 9.6166e+06  | False       |
| 2000-12-20 00:00:00-05:00 |  84.2426 |  82.6871 | 9.9943e+06  | False       |
| 2000-12-21 00:00:00-05:00 |  82.5234 |  83.2602 | 1.43315e+07 | False       |
| 2000-12-22 00:00:00-05:00 |  84.4882 |  85.7571 | 1.01829e+07 | False       |
| 2000-12-26 00:00:00-05:00 |  85.6957 |  86.6782 | 4.6653e+06  | False       |
| 2000-12-27 00:00:00-05:00 |  86.2893 |  87.3127 | 4.8541e+06  | False       |
| 2000-12-28 00:00:00-05:00 |  86.9852 |  87.5787 | 8.3587e+06  | False       |
| 2000-12-29 00:00:00-05:00 |  87.8039 |  85.9209 | 8.7746e+06  | False       |
| 2001-01-02 00:00:00-05:00 |  86.4531 |  84.3654 | 8.7375e+06  | False       |
| 2001-01-03 00:00:00-05:00 |  84.0379 |  88.4179 | 1.94316e+07 | False       |
| 2001-01-04 00:00:00-05:00 |  88.377  |  87.4662 | 9.219e+06   | False       |
